FIPS,INCID_2004_2017,INCID_2004_2010,CASES_2004_2017,CASES_YEAR_2004_2017,CASES_2004_2010,CASES_YEAR_2004_2010,POP2010,TAR,PIPQNX,ERY,CX_OTHER,APPLIED_WATER_ACRE,PRECIP_AF_ACRE,MEAN_TEMPC,DEV_TOTAL_PERCENT_DAU,OPENWATER_PERCENT_DAU,AG_2010,OVERLAP,LAT,LONG,WETLAND_COVER
6001,0.529706258,0.264853129,8,0.571428571,4,0.571428571,1510271,2.737300968,5.150222683,23.97463835,29.1257164,0.043274865,1.598564232,17.35146801,27.61176487,2.900126889,1.571134955,100,37.64275382,-121.8775366,0.815183442
6003,0,0,0,0,0,0,1175,0.535873987,0.373620672,0.004354625,1.314219645,0.001657232,0.748724647,3.276446999,0.627931218,0.340068435,0.004829172,99.99840398,38.59448271,-119.8169696,0.004868742
6005,13.12646032,7.875876191,5,0.357142857,3,0.428571429,38091,3.514890705,1.760355916,0.019967135,6.127820667,0.01902859,3.314865321,16.88055168,3.416365795,1.23286569,0.641383202,100,38.4421067,-120.6446715,0.027064368
6007,102.2727273,39.54545455,225,16.07142857,87,12.42857143,220000,0.007700374,0.000394346,8.18E-07,0.000402188,0.000155231,0.001446465,0.004354812,0.000810471,0.000409045,0.004614993,100,39.66214977,-121.5929039,8.13251E-05
6009,6.582122954,6.582122954,3,0.214285714,3,0.428571429,45578,3.111230934,1.398970116,0.015667747,4.843551893,0.018668849,2.63540317,14.06060292,2.922545243,1.108876721,0.702624314,100,38.20165543,-120.5447212,0.024319692
6011,93.37504085,42.01876838,20,1.428571429,9,1.285714286,21419,97.05786312,3.46555868,0.517886196,4.028695975,1.301268202,1.243935113,15.71169503,2.631872863,0.879122543,42.67539919,100,39.17913684,-122.2328096,1.064486651
6013,5.719596768,3.336431448,60,4.285714286,35,5,1049025,42.61904365,9.790235715,17.17457528,26.96614248,0.392744037,1.430869502,18.02004803,31.32533046,4.035576411,14.04262462,100,37.91322503,-121.9118696,1.884886934
6015,0,0,0,0,0,0,28610,0,0,0,0,0,0,0,0,0,0,82.41925182,41.74004868,-123.890022,0
6017,4.418473638,2.761546024,8,0.571428571,5,0.714285714,181058,1.104771441,0.855586019,0.008299358,2.437853695,0.007896146,4.132582746,14.17251359,2.895099737,3.430547504,0.06620141,99.99950101,38.7752063,-120.5175223,0.031335585
6019,27.40609383,14.72405825,255,18.21428571,137,19.57142857,930450,15.2285413,27.39886411,2.692704664,30.43822219,0.78969055,1.104245083,11.761628,4.369012383,0.483887793,27.56358132,100,36.7542967,-119.641139,0.696146153
6021,320.034137,135.1255245,90,6.428571429,38,5.428571429,28122,54.88402206,1.919512485,0.000243682,1.949201054,0.692176928,0.628277005,8.670011001,1.231035737,0.075943425,23.28789648,100,39.59703605,-122.3825248,0.654167168
6023,0.742815121,0.742815121,1,0.071428571,1,0.142857143,134623,0,0,0,0,0,0,0,0,0,0,88.4569599,40.69899828,-123.8637213,0
6025,6.875687569,3.437843784,12,0.857142857,6,0.857142857,174528,252.6543578,0.877481429,246.8161471,247.6936502,0.768879299,0.0616863,12.51684398,1.67965186,0.202699973,13.68218064,99.96731355,33.03983803,-115.3663522,0.208273058
6027,21.5679931,0,4,0.285714286,0,0,18546,4.53E-06,0.000180095,1.29E-06,0.000182229,0,0.000303364,0.000941854,2.27E-05,9.96E-05,1.84E-08,99.99518516,36.50850616,-117.4064861,2.16846E-06
6029,58.23986966,41.68497828,489,34.92857143,350,50,839631,14.49063454,6.816080799,2.358938088,9.208681772,0.434264418,0.165652837,5.846185904,2.719392465,0.10164284,11.52935467,100,35.34527144,-118.7305113,0.066544448
6031,43.79600214,30.06889699,67,4.785714286,46,6.571428571,152982,17.9793896,36.20123511,1.250896548,37.52363645,0.866486469,0.250958966,8.074759934,2.964165026,0.144715657,30.92030041,100,36.07851908,-119.803373,0.016883945
6033,15.46431609,4.639294827,10,0.714285714,3,0.428571429,64665,32.78511938,0.012493303,3.515251395,3.548436324,0.049479289,2.113659606,13.75786269,3.657523771,4.959305194,1.792263584,100,39.09812912,-122.746033,0.046978712
6035,2.865740077,2.865740077,1,0.071428571,1,0.142857143,34895,0,0,0,0,0,0,0,0,0,0,99.99693539,40.66935811,-120.5898736,0
6037,19.08621439,5.856229067,1874,133.8571429,575,82.14285714,9818605,1.033138772,3.869660583,3.927086459,8.058864597,0.002242141,0.977556888,11.06100027,25.4466326,0.183268273,0.028565991,83.16893454,34.32209948,-118.2225598,0.033400578
6039,33.8050575,18.55963941,51,3.642857143,28,4,150865,5.899790522,9.171875603,0.048296067,9.220193095,0.169021429,0.260519947,5.0949392,1.33846459,0.060940696,14.60142158,100,37.21298745,-119.7460694,0.035956966
6041,1.584729546,0.396182387,4,0.285714286,1,0.142857143,252409,4.020964987,6.532156649,44.2456444,50.9399764,0.014078265,1.904123734,10.47227899,9.0776314,0.849316234,0.542648018,71.5003698,38.07305449,-122.7202011,1.485688803
6043,0,0,0,0,0,0,18251,2.21E-05,2.79E-05,0,2.79E-05,9.54E-07,1.01E-06,1.52E-05,5.49E-06,2.75E-07,3.35E-05,100,37.57574509,-119.8981354,1.4362E-07
6045,4.553682221,2.276841111,4,0.285714286,2,0.285714286,87841,0.071411828,0.205150253,0.037940526,0.250289326,0.000438988,0.018188544,0.102197771,0.029443274,0.007910085,0.003012624,90.57591357,39.43718109,-123.3787527,0.00051183
6047,25.80211343,15.6376445,66,4.714285714,40,5.714285714,255793,26.59617178,12.39025323,11.44805231,23.90636569,0.82088865,0.400350266,9.033141337,4.390045642,0.344634005,28.21537778,100,37.18702646,-120.7044101,3.383186012
6049,20.64835846,20.64835846,2,0.142857143,2,0.285714286,9686,0,0,0,0,0,0,0,0,0,0,99.97749727,41.58434456,-120.7206443,0
6051,7.041261794,7.041261794,1,0.071428571,1,0.142857143,14202,0,0,0,0,0,0,0,0,0,0,99.95346237,37.9331125,-118.8836474,0
6053,0.722792291,0.240930764,3,0.214285714,1,0.142857143,415057,0.024023846,0.015779519,1.233199413,1.24979113,0.001425938,0.010091509,0.08772794,0.146706963,0.008679069,0.094854326,87.88360247,36.21776001,-121.2285748,0.018664183
6055,2.198059846,1.465373231,3,0.214285714,2,0.285714286,136484,16.30704531,0.005621271,0.012972265,0.018799524,0.109367075,2.294168167,17.26064965,7.843327853,4.746011531,2.572896021,100,38.50777422,-122.3274117,2.313788491
6057,7.08760277,5.062573407,7,0.5,5,0.714285714,98764,0.198813531,0.108993372,0,0.127971536,0.01379004,4.967257642,12.33855272,2.644482434,4.294592647,0.029530295,100,39.29654609,-120.7594556,0.039726733
6059,21.46013995,5.64740525,646,46.14285714,170,24.28571429,3010232,2.739497833,1.241733607,19.99401835,21.26714032,0.023572059,0.778043282,16.91906799,49.14062786,0.214199053,0.021685598,83.98091793,33.70398512,-117.7566693,0.294379778
6061,25.54300409,16.35900262,89,6.357142857,57,8.142857143,348432,12.616974,48.34472316,0.158417231,49.38707278,0.225502158,3.759418173,14.7500428,9.660560845,4.085591545,5.736090095,99.99477605,39.06026787,-120.7101907,0.163270127
6063,4.998250612,4.998250612,1,0.071428571,1,0.142857143,20007,0.000208378,0.000833512,0,0.001010633,0.000126519,0.041167907,0.099445095,0.018020003,0.010172741,0.000258616,100,40.00212063,-120.8386478,0.000188845
6065,24.66157694,13.60953691,540,38.57142857,298,42.57142857,2189641,33.12207436,20.69316613,19.25738468,40.16987308,0.071953178,0.19497278,7.937656232,5.217656528,0.068163579,0.732474006,99.99585146,33.74437476,-115.9941376,0.084333076
6067,22.55446198,16.28150224,320,22.85714286,231,33,1418788,44.65263215,44.07390786,6.723293027,51.29335844,1.010035409,1.543822127,19.44363818,24.10803299,2.25847466,36.63862159,100,38.46550658,-121.3184265,1.868788082
6069,0,0,0,0,0,0,55269,0.666174573,0.1912067,0.674305412,0.866698859,0.044706976,0.140982858,1.328650727,2.338406112,0.048530207,2.185597998,100,36.60584124,-121.061087,0.07878557
6071,22.40555029,13.26644425,456,32.57142857,270,38.57142857,2035210,2.240781319,1.742031912,11.55092562,13.35865602,0.006309996,0.112170304,1.971418334,2.633627083,0.031729194,0.034707513,99.99587491,34.84387259,-116.1759926,0.016461183
6073,4.296819094,1.873800808,133,9.5,58,8.285714286,3095313,0.919842422,0.672169175,1.581263364,2.258318566,0.073475365,0.795501303,12.56631736,16.19696135,0.276530295,0.058473207,93.63041174,33.03619366,-116.7386948,0.524857827
6075,0.745124094,0.372562047,6,0.428571429,3,0.428571429,805235,0.001237238,0.001992313,0.002114971,0.004160366,3.46E-06,0.000276517,0.001879926,0.003215875,0.000223976,0.000182303,46.0982998,37.74670026,-122.4301026,0.000362068
6077,21.45027185,11.96545777,147,10.5,82,11.71428571,685306,30.22093466,15.61270879,1.274594963,16.89538863,1.764362919,1.143602128,19.38386163,13.12520947,2.984847395,60.4261706,100,37.93468445,-121.2628075,1.264348852
6079,0.741737966,0.741737966,2,0.142857143,2,0.285714286,269637,0.318729853,0.773089431,0,0.773089431,0,0.038521642,2.157998324,0.478030987,0.025242273,0.524028207,91.80431751,35.38883757,-120.4001413,3.77429E-05
6081,0.139188337,0.139188337,1,0.071428571,1,0.142857143,718451,0.019620471,0.078221436,1.254884276,1.335985993,0.0006317,0.132470331,0.696925035,0.664381381,0.010244918,0.028856743,74.52998111,37.42439845,-122.3221847,0.010607718
6083,1.179537385,0.707722431,5,0.357142857,3,0.428571429,423895,0.00043853,0.001973386,0.00043853,0.002411916,0.000658749,0.004068804,0.040452228,0.032384439,0.000989326,0.005925284,67.40723684,34.67197144,-120.0128358,0.001429758
6085,2.132863954,0.89804798,38,2.714285714,16,2.285714286,1781642,0.45235612,0.236285513,0.173126047,0.409525976,0.044276401,0.376446009,4.327555801,4.757643135,0.164208922,2.117218148,100,37.22731917,-121.6833781,0.035166435
6087,0.381123705,0,1,0.071428571,0,0,262382,1.000031513,1.492242289,54.67946609,56.23448648,0.05268594,2.033165248,11.76322485,13.12624425,0.39362406,3.332657383,73.48853027,37.05471421,-121.9847782,0.716779615
6089,16.36356455,11.28521693,29,2.071428571,20,2.857142857,177223,3.817316122,28.03218395,0.005878892,28.27778539,0.025556968,3.628867618,11.6007785,2.574972124,0.945599637,0.375177041,100,40.75840138,-122.0363525,0.188078113
6091,0,0,0,0,0,0,3240,0.172963701,0.076725966,0,0.089295523,0.009185151,3.417934943,8.559548876,1.917394038,3.593788423,0.019979829,99.98614694,39.57770349,-120.505323,0.030865815
6093,2.227171492,0,1,0.071428571,0,0,44900,0.272588232,0.024780748,0,0.024780748,0.000575416,0.625568994,1.408625522,0.148318951,0.244207424,0.005555423,99.99425087,41.58840725,-122.5364982,0.001223484
6095,6.774018735,3.628938608,28,2,15,2.142857143,413344,18.13298989,6.429620152,4.191221791,10.63737003,0.885365825,1.502328054,12.17590175,5.872185826,1.547442369,28.44199939,100,38.28910969,-121.9126891,1.149693326
6097,0.413327326,0.413327326,2,0.142857143,2,0.285714286,483878,3.60312848,8.267586553,12.33318495,21.01197828,0.069711426,1.653572504,10.0378328,7.961069069,0.444233209,1.337692299,90.68799107,38.52815252,-122.8878053,0.974429198
6099,60.45255835,30.90661343,311,22.21428571,159,22.71428571,514453,21.1156419,15.00103536,6.301615662,21.37629281,1.053837658,0.456579009,10.09513762,7.439595148,0.41789632,32.34172172,100,37.55507903,-120.9908905,2.378930761
6101,70.72210435,25.33329111,67,4.785714286,24,3.428571429,94737,10.62249425,21.82416365,0.16026751,22.14119274,0.251033386,0.326979945,4.320852701,8.158532262,0.117426706,8.544650427,100,39.03361022,-121.6882005,0.135903973
6103,83.51322818,44.12019602,53,3.785714286,28,4,63463,2.210546059,30.95548257,0.006305612,31.19706058,0.013747936,1.136571303,4.777963175,1.172091872,0.14974186,0.221911883,100,40.11985541,-122.2248324,0.112273003
6105,0,0,0,0,0,0,13786,0.000304691,3.32E-05,0,3.71E-05,7.67E-07,0.000933573,0.002594365,0.000326666,0.000262964,1.06E-05,100,40.64754081,-123.1040176,1.24949E-06
6107,39.5767325,21.71066469,175,12.5,96,13.71428571,442179,6.685013254,50.22370236,0.226588693,50.58639691,0.436845215,0.274736033,4.112159111,1.823904398,0.104680909,11.58626792,100,36.22067724,-118.793141,0.013151938
6109,1.80619525,1.80619525,1,0.071428571,1,0.142857143,55365,0,0,0,0,0,0,0,0,0,0,100,38.02470032,-119.9474287,0
6111,3.157953549,0.850218263,26,1.857142857,7,1,823318,0.141856725,0.637957798,0.141883999,0.779848937,0.212929172,1.315238954,13.07629047,10.46866497,0.319796961,1.915246389,83.01310099,34.47217987,-119.0761089,0.462146208
6113,50.28653366,21.90700476,101,7.214285714,44,6.285714286,200849,93.03634388,9.099339139,4.669031746,13.85478967,1.557370389,1.666579709,19.70601703,6.265369116,1.699149407,53.04689338,100,38.68694102,-121.8973701,1.221235356
6115,80.38250987,16.63086411,58,4.142857143,12,1.714285714,72155,0.030550725,0.077739761,0.000361623,0.084513742,0.004883511,1.408936536,3.411328255,0.634794731,0.348232596,0.027798799,100,39.26727223,-121.3410525,0.00676122
